clean_prefix,patch_prefix,clean_answer,patch_answer,case,be_conjugations_clean,be_conjugations_clean_tok,be_conjugations_patch,be_conjugations_patch_tok,clean_answer_logits,clean_answer_probs,clean_answer_rank,clean_be_conjugations_rank,clean_be_conjugations_logits_diff,clean_be_conjugations_probs,clean_be_conjugations_probs_diff,patch_answer_logits,patch_answer_probs,patch_answer_rank,patch_be_conjugations_rank,patch_be_conjugations_logits_diff,patch_be_conjugations_probs,patch_be_conjugations_probs_diff
The mother that the driver praises,The mothers that the driver praises, goes, go,singular_singular, is,603, are,708,23.335006713867188,0.0007844112114980817,70,1,4.247200012207031,0.15952636301517487,0.1572444587945938,23.719987869262695,0.0011305328225716949,61,1,3.126932144165039,0.21501858532428741,0.20558956265449524
The girl that the architects protect,The girls that the architects protect, goes, go,singular_plural, is,603, are,708,22.836833953857422,0.0005286474479362369,97,0,2.686056137084961,0.23459026217460632,0.21860313415527344,23.447383880615234,0.0009992426494136453,72,0,2.351896286010742,0.28112494945526123,0.25436508655548096
The girl that the executives call,The girls that the executives call, does, do,singular_plural, is,603, are,708,14.958662033081055,9.165079859485559e-07,2512,10,4.096469879150391,0.008864008821547031,0.008716588839888573,18.69649887084961,2.7967551432084292e-05,393,10,1.8778343200683594,0.015149873681366444,0.012833140790462494
The victim that the executives inform,The victims that the executives inform, does, do,singular_plural, is,603, are,708,21.725210189819336,0.00032426559482701123,95,3,1.988515853881836,0.07948514819145203,0.0686037540435791,22.04643440246582,0.0004824043717235327,83,3,1.9489898681640625,0.08166323602199554,0.07003293186426163
The teacher that the driver visits,The teachers that the driver visits, does, do,singular_singular, is,603, are,708,24.30470085144043,0.0023360217455774546,39,0,3.988971710205078,0.36500242352485657,0.35824304819107056,25.48654556274414,0.007774108089506626,17,0,3.828216552734375,0.3921983540058136,0.3836686909198761
The mothers that the dancers follow,The mother that the dancers follow, do, does,plural_plural, are,708, is,603,24.977703094482422,0.004137334413826466,32,0,4.044351577758789,0.2739468812942505,0.26914703845977783,24.547088623046875,0.0025247898884117603,36,0,1.8848323822021484,0.2269122153520584,0.19245457649230957
The man that the skater protects,The men that the skater protects, is, are,singular_singular, is,603, are,708,28.674341201782227,0.22802136838436127,0,0,5.3012237548828125,0.22802136838436127,0.22688457369804382,28.530874252319336,0.19004777073860168,0,0,0.9015636444091797,0.19004777073860168,0.11290083825588226
The teacher that the dancer follows,The teachers that the dancer follows, has, have,singular_singular, is,603, are,708,27.136714935302734,0.03728724271059036,3,0,4.688066482543945,0.3492860198020935,0.3460710346698761,27.20098876953125,0.036844730377197266,3,0,2.3599910736083984,0.3201567232608795,0.2899271845817566
The athlete that the parent forgives,The athletes that the parent forgives, goes, go,singular_singular, is,603, are,708,23.323366165161133,0.001315783360041678,74,0,4.558416366577148,0.15909643471240997,0.15742932260036469,24.00871467590332,0.001854561734944582,63,0,1.541259765625,0.13130147755146027,0.10318835824728012
The women that the minister likes,The woman that the minister likes, are, is,plural_singular, are,708, is,603,28.0533447265625,0.09531713277101517,1,1,1.2185249328613281,0.09531713277101517,0.06713510304689407,28.54326057434082,0.1377943754196167,1,1,5.114200592041016,0.1377943754196167,0.13696612417697906
The teachers that the architect describes,The teacher that the architect describes, do, does,plural_singular, are,708, is,603,24.923419952392578,0.004493510816246271,13,1,3.006275177001953,0.21208783984184265,0.20159466564655304,24.347246170043945,0.002454242669045925,26,1,4.788057327270508,0.23841047286987305,0.23642484843730927
The kid that the drivers follow,The kids that the drivers follow, does, do,singular_plural, is,603, are,708,24.33386993408203,0.002174360677599907,50,1,1.2437191009521484,0.1551692932844162,0.11043243110179901,25.402912139892578,0.007498042192310095,24,0,3.4255714416503906,0.28300029039382935,0.2737940847873688
The teacher that the chef follows,The teachers that the chef follows, goes, go,singular_singular, is,603, are,708,23.810697555541992,0.0013150449376553297,56,0,4.218746185302734,0.34816378355026245,0.3430398404598236,23.64491844177246,0.0011173695093020797,66,0,1.8132762908935547,0.3138241171836853,0.2626335024833679
The girls that the parent visits,The girl that the parent visits, are, is,plural_singular, are,708, is,603,28.75153160095215,0.2531029284000397,0,0,1.8630447387695312,0.2531029284000397,0.21382150053977966,29.04901123046875,0.2550824284553528,0,0,3.7897167205810547,0.2550824284553528,0.24931704998016357
The poet that the architect praises,The poets that the architect praises, is, are,singular_singular, is,603, are,708,29.33834457397461,0.31944435834884644,0,0,4.6600341796875,0.31944435834884644,0.31642046570777893,29.181230545043945,0.2715435326099396,1,1,3.8752384185791016,0.2715435326099396,0.2659091651439667
The farmers that the chef calls,The farmer that the chef calls, go, goes,plural_singular, are,708, is,603,16.434005737304688,4.363555035524769e-06,749,16,1.5857772827148438,0.010486884042620659,0.0083392895758152,17.386821746826172,1.300945586990565e-05,608,12,5.68409538269043,0.02048501931130886,0.020415378734469414
The boys that the parents influence,The boy that the parents influence, go, goes,plural_plural, are,708, is,603,22.177204132080078,0.00029872855520807207,132,1,2.004098892211914,0.15586136281490326,0.13485410809516907,20.631410598754883,0.00010989772999892011,179,1,1.4777488708496094,0.08554123342037201,0.06602493673563004
The doctor that the guards inform,The doctors that the guards inform, does, do,singular_plural, is,603, are,708,17.36005401611328,5.070499355497304e-06,1323,10,2.526641845703125,0.007745843846350908,0.0071267420426011086,20.474609375,9.458717977395281e-05,139,10,2.078470230102539,0.018951011821627617,0.01657983288168907
The boys that the executives like,The boy that the executives like, do, does,plural_plural, are,708, is,603,24.820758819580078,0.003077296307310462,30,1,1.4314842224121094,0.09515026211738586,0.07241372764110565,22.334815979003906,0.00034355540992692113,92,3,2.7681102752685547,0.06600357592105865,0.06185983493924141
The boys that the chef influences,The boy that the chef influences, have, has,plural_singular, are,708, is,603,26.588075637817383,0.01842905394732952,13,0,1.4408950805664062,0.19513480365276337,0.14894331991672516,26.273574829101562,0.016834164038300514,11,1,2.597238540649414,0.1392735242843628,0.12890057265758514
The poet that the drivers protect,The poets that the drivers protect, does, do,singular_plural, is,603, are,708,23.307985305786133,0.0011070112232118845,71,0,1.4764575958251953,0.15396924316883087,0.11879566311836243,24.983572006225586,0.006239637266844511,25,0,3.458883285522461,0.22848962247371674,0.22130022943019867
The aunts that the chef protects,The aunt that the chef protects, go, goes,plural_singular, are,708, is,603,22.35365867614746,0.00034733698703348637,114,0,2.0762939453125,0.26114901900291443,0.22840248048305511,22.59687614440918,0.00042247967212460935,106,0,5.35792350769043,0.2863446772098541,0.28499579429626465
The athlete that the executive calls,The athletes that the executive calls, is, are,singular_singular, is,603, are,708,23.845691680908203,0.004133208654820919,19,19,3.2864551544189453,0.004133208654820919,0.003978684078902006,25.01384162902832,0.013641820289194584,11,11,3.3267688751220703,0.013641820289194584,0.013151956722140312
The farmers that the assistant forgives,The farmer that the assistant forgives, have, has,plural_singular, are,708, is,603,26.626697540283203,0.03721664100885391,5,0,1.4565715789794922,0.1621963381767273,0.1243990957736969,27.134408950805664,0.05035027489066124,3,0,4.686382293701172,0.20670698583126068,0.20480115711688995
The carpenter that the assistant forgives,The carpenters that the assistant forgives, goes, go,singular_singular, is,603, are,708,23.592092514038086,0.0013137591304257512,69,0,4.413747787475586,0.15559332072734833,0.15370912849903107,23.2762393951416,0.001046160003170371,75,0,0.9751987457275391,0.11825696378946304,0.07366020232439041
The poets that the drivers forgive,The poet that the drivers forgive, are, is,plural_plural, are,708, is,603,28.27820587158203,0.13955043256282806,0,0,2.258939743041992,0.13955043256282806,0.12497282773256302,27.877437591552734,0.10146264731884003,1,1,2.486734390258789,0.10146264731884003,0.09302286803722382
The girls that the architect calls,The girl that the architect calls, go, goes,plural_singular, are,708, is,603,16.271739959716797,3.2779159937490476e-06,1480,14,2.315580368041992,0.008548624813556671,0.007704799994826317,12.836710929870605,1.5057476332458464e-07,4698,22,4.574892044067383,0.004292614758014679,0.0042483690194785595
The singers that the minister likes,The singer that the minister likes, go, goes,plural_singular, are,708, is,603,22.93198013305664,0.0007061358192004263,65,1,2.035066604614258,0.13814543187618256,0.12009371817111969,22.476669311523438,0.0005856084171682596,67,1,4.780389785766602,0.10837746411561966,0.107467882335186
The aunt that the dancers praise,The aunts that the dancers praise, goes, go,singular_plural, is,603, are,708,23.016407012939453,0.0006141784833744168,72,1,2.7084083557128906,0.1406489610671997,0.1312757283449173,23.14483070373535,0.0006982864579185843,69,1,4.30711555480957,0.1894347220659256,0.18688258528709412
The mothers that the ministers forgive,The mother that the ministers forgive, have, has,plural_plural, are,708, is,603,26.45063018798828,0.025557667016983032,9,0,2.2239246368408203,0.16851691901683807,0.15028613805770874,24.998809814453125,0.00904899276793003,17,1,2.418172836303711,0.09077087044715881,0.08268461376428604
The girls that the dancer protects,The girl that the dancer protects, do, does,plural_singular, are,708, is,603,25.10637664794922,0.004982500337064266,26,0,1.4998493194580078,0.2782299816608429,0.21613912284374237,24.4668025970459,0.0026938614901155233,35,0,5.422557830810547,0.28535977005958557,0.28409966826438904
The aunt that the assistant protects,The aunts that the assistant protects, is, are,singular_singular, is,603, are,708,29.049575805664062,0.29644301533699036,0,0,5.175529479980469,0.29644301533699036,0.2947671711444855,28.99977684020996,0.2907581627368927,0,0,2.269756317138672,0.2907581627368927,0.2607119679450989
The athlete that the guard follows,The athletes that the guard follows, does, do,singular_singular, is,603, are,708,24.892601013183594,0.004170589614659548,33,0,4.267583847045898,0.2918410003185272,0.2877506613731384,25.281312942504883,0.0058067901991307735,28,0,2.734853744506836,0.29837679862976074,0.2790111005306244
The farmer that the chefs forgive,The farmers that the chefs forgive, does, do,singular_plural, is,603, are,708,23.5805606842041,0.001213568146340549,75,1,2.057027816772461,0.11406432092189789,0.09948309510946274,24.712440490722656,0.004035827238112688,37,0,1.7671680450439453,0.14666074514389038,0.12160873413085938
The boy that the executives describe,The boys that the executives describe, does, do,singular_plural, is,603, are,708,20.058975219726562,7.368165825027972e-05,87,1,3.2272796630859375,0.039283305406570435,0.03772512450814247,21.92631721496582,0.00042815195047296584,56,1,2.629312515258789,0.07487853616476059,0.06947769224643707
The uncles that the skaters like,The uncle that the skaters like, are, is,plural_plural, are,708, is,603,27.4160213470459,0.06364879757165909,2,2,1.4619693756103516,0.06364879757165909,0.048896320164203644,27.116872787475586,0.050138071179389954,3,3,3.2959728240966797,0.050138071179389954,0.04828135669231415
The uncles that the skater visits,The uncle that the skater visits, are, is,plural_singular, are,708, is,603,29.32614517211914,0.3020336627960205,0,0,3.574188232421875,0.3020336627960205,0.29356518387794495,28.836780548095703,0.218558669090271,1,1,6.746793746948242,0.218558669090271,0.2183019369840622
The poets that the guards influence,The poet that the guards influence, are, is,plural_plural, are,708, is,603,28.80487823486328,0.2653990387916565,0,0,2.2740249633789062,0.2653990387916565,0.23809021711349487,28.5461483001709,0.22486883401870728,0,0,2.4244117736816406,0.22486883401870728,0.2049611508846283
The farmer that the chefs call,The farmers that the chefs call, does, do,singular_plural, is,603, are,708,17.41507911682129,1.5810122931725346e-05,572,14,4.2440948486328125,0.015071021392941475,0.01485477201640606,18.609535217285156,3.605353049351834e-05,259,11,2.5410079956054688,0.020256269723176956,0.01866034045815468
The lawyers that the guard visits,The lawyer that the guard visits, do, does,plural_singular, are,708, is,603,24.950538635253906,0.004981325473636389,26,0,2.7810745239257812,0.3378337621688843,0.31689757108688354,24.66977882385254,0.00304191536270082,35,0,5.408252716064453,0.2821870446205139,0.2809230089187622
The singer that the architects visit,The singers that the architects visit, has, have,singular_plural, is,603, are,708,26.785140991210938,0.02914840541779995,5,0,2.9252471923828125,0.3775044083595276,0.35725075006484985,27.210857391357422,0.04013010486960411,3,0,4.144994735717773,0.35695740580558777,0.3513019382953644
The athlete that the architects inform,The athletes that the architects inform, does, do,singular_plural, is,603, are,708,19.85975456237793,0.00011381084186723456,140,4,1.7061882019042969,0.061743926256895065,0.05053391307592392,20.61287498474121,0.0002501326089259237,105,3,1.6517391204833984,0.05923641100525856,0.04787983000278473
The woman that the chef describes,The women that the chef describes, has, have,singular_singular, is,603, are,708,25.37657928466797,0.011757285334169865,6,2,4.795169830322266,0.08483122289180756,0.0841297060251236,25.91043472290039,0.014465625397861004,6,2,1.9379196166992188,0.14401544630527496,0.12327675521373749
The uncles that the architect forgives,The uncle that the architect forgives, have, has,plural_singular, are,708, is,603,25.655765533447266,0.009549451060593128,21,0,1.113576889038086,0.10877713561058044,0.0730566531419754,26.022579193115234,0.015142246149480343,14,0,4.869604110717773,0.12149889022111893,0.1205662190914154
The victims that the minister follows,The victim that the minister follows, go, goes,plural_singular, are,708, is,603,22.53542709350586,0.0004143491096328944,111,0,2.2530250549316406,0.2240559160709381,0.20051193237304688,22.92806053161621,0.0006206738180480897,95,0,3.2469215393066406,0.23231084644794464,0.22327540814876556
The poets that the architect describes,The poet that the architect describes, do, does,plural_singular, are,708, is,603,25.031126022338867,0.004524254240095615,18,1,3.9213714599609375,0.22750923037528992,0.2230013906955719,24.344358444213867,0.002365606604143977,26,0,5.36213493347168,0.283720999956131,0.2823900878429413
The victim that the dancer describes,The victims that the dancer describes, goes, go,singular_singular, is,603, are,708,23.613996505737305,0.0012814195360988379,41,1,5.002241134643555,0.2034359872341156,0.20206831395626068,23.010562896728516,0.0006482484750449657,70,1,3.0778427124023438,0.23384276032447815,0.22307230532169342
The girls that the dancers describe,The girl that the dancers describe, are, is,plural_plural, are,708, is,603,28.323122024536133,0.17893239855766296,1,1,2.8972511291503906,0.17893239855766296,0.1690598577260971,28.048288345336914,0.14403651654720306,2,2,2.5509796142578125,0.14403651654720306,0.13280092179775238
The woman that the minister calls,The women that the minister calls, goes, go,singular_singular, is,603, are,708,14.597023963928223,4.86375711261644e-07,2585,19,3.5035457611083984,0.00808507390320301,0.007841790094971657,16.541854858398438,3.758691491384525e-06,1133,19,2.3146934509277344,0.008956123143434525,0.008071289397776127
The boys that the chefs describe,The boy that the chefs describe, are, is,plural_plural, are,708, is,603,28.034809112548828,0.1409839540719986,1,1,2.4240760803222656,0.1409839540719986,0.12849843502044678,27.523176193237305,0.09996000677347183,1,1,3.064847946166992,0.09996000677347183,0.09529577940702438
The carpenters that the assistants follow,The carpenter that the assistants follow, have, has,plural_plural, are,708, is,603,27.235240936279297,0.04826990142464638,3,0,3.636598587036133,0.3198520839214325,0.3114266097545624,27.137331008911133,0.03933549299836159,5,0,2.173717498779297,0.2785557508468628,0.24686893820762634
The women that the executive protects,The woman that the executive protects, do, does,plural_singular, are,708, is,603,25.72943115234375,0.009187818504869938,14,0,1.756072998046875,0.2954246699810028,0.24439838528633118,25.336830139160156,0.006326988339424133,23,0,4.877117156982422,0.31524911522865295,0.3128472566604614
The woman that the parents protect,The women that the parents protect, is, are,singular_plural, is,603, are,708,28.54729652404785,0.14788247644901276,0,0,2.117654800415039,0.14788247644901276,0.13009022176265717,28.932069778442383,0.2351650893688202,0,0,2.3183956146240234,0.2351650893688202,0.2120174616575241
The men that the parents like,The man that the parents like, have, has,plural_plural, are,708, is,603,25.88370704650879,0.009431210346519947,14,2,0.6587963104248047,0.10782954096794128,0.05203057825565338,25.58277130126953,0.008244385942816734,18,2,4.052021026611328,0.11739878356456757,0.11535754799842834
The carpenter that the architect calls,The carpenters that the architect calls, does, do,singular_singular, is,603, are,708,21.76164436340332,0.000594112672843039,77,6,3.7105846405029297,0.05551249161362648,0.05415447801351547,21.722145080566406,0.0005468488088808954,70,7,2.1697463989257812,0.054362859576940536,0.04815426468849182
The farmer that the guard informs,The farmers that the guard informs, does, do,singular_singular, is,603, are,708,19.247066497802734,3.587506216717884e-05,434,8,3.481870651245117,0.01803920790553093,0.017484504729509354,21.13385772705078,0.000207275414140895,95,5,0.804168701171875,0.03720106929540634,0.02055509015917778
The girls that the guards like,The girl that the guards like, are, is,plural_plural, are,708, is,603,28.578998565673828,0.12875038385391235,1,1,1.4084110260009766,0.12875038385391235,0.09726685285568237,28.04570960998535,0.08366980403661728,3,3,2.401874542236328,0.08366980403661728,0.07609366625547409
The kids that the dancer visits,The kid that the dancer visits, do, does,plural_singular, are,708, is,603,25.325767517089844,0.006002810318022966,25,0,3.4663333892822266,0.34184232354164124,0.3311661183834076,24.22812271118164,0.0019975844770669937,43,0,5.290678024291992,0.24360322952270508,0.24237586557865143
The friends that the guards praise,The friend that the guards praise, go, goes,plural_plural, are,708, is,603,22.891429901123047,0.000659066834487021,87,0,2.5087451934814453,0.27068009972572327,0.2486547827720642,22.750057220458984,0.0005223811022005975,91,0,3.210369110107422,0.27450254559516907,0.26342862844467163
The men that the chef visits,The man that the chef visits, do, does,plural_singular, are,708, is,603,25.11874008178711,0.004633646458387375,20,0,3.365123748779297,0.35602867603302,0.34372514486312866,23.5076847076416,0.0009439397836104035,63,0,5.326618194580078,0.3090195953845978,0.3075176179409027
The aunt that the architect follows,The aunts that the architect follows, does, do,singular_singular, is,603, are,708,24.210491180419922,0.0022162655368447304,40,0,4.859357833862305,0.15253686904907227,0.1513538807630539,24.714130401611328,0.0034248337615281343,33,0,2.5021724700927734,0.18593862652778625,0.17070898413658142
The carpenters that the skater likes,The carpenter that the skater likes, do, does,plural_singular, are,708, is,603,23.68290901184082,0.0016865426441654563,34,1,0.7222957611083984,0.11504743993282318,0.0591762512922287,23.69049835205078,0.0017532245256006718,38,1,4.950037002563477,0.1943415254354477,0.19296497106552124
The boy that the chefs describe,The boys that the chefs describe, is, are,singular_plural, is,603, are,708,27.523176193237305,0.09996000677347183,1,1,3.064847946166992,0.09996000677347183,0.09529577940702438,28.034809112548828,0.1409839540719986,1,1,2.4240760803222656,0.1409839540719986,0.12849843502044678
The poets that the chef influences,The poet that the chef influences, do, does,plural_singular, are,708, is,603,22.870784759521484,0.000750403618440032,76,0,2.269134521484375,0.27793511748313904,0.24919617176055908,21.740108489990234,0.00024552486138418317,114,0,2.7637252807617188,0.20978787541389465,0.19655939936637878
The boy that the parents follow,The boys that the parents follow, goes, go,singular_plural, is,603, are,708,22.876386642456055,0.0005704342620447278,97,0,1.995290756225586,0.11840230226516724,0.1023026555776596,23.452821731567383,0.0008822283707559109,94,0,2.1473426818847656,0.16500677168369293,0.14573495090007782
The fathers that the dancers praise,The father that the dancers praise, do, does,plural_plural, are,708, is,603,25.147926330566406,0.004954932723194361,22,1,4.034496307373047,0.24466060101985931,0.24033142626285553,23.712251663208008,0.0011417791247367859,58,1,2.727113723754883,0.1833494007587433,0.1713569164276123
The carpenters that the ministers influence,The carpenter that the ministers influence, have, has,plural_plural, are,708, is,603,27.613988876342773,0.05695343017578125,3,0,1.9141101837158203,0.15658871829509735,0.13349610567092896,27.031814575195312,0.0441417433321476,5,0,2.084871292114258,0.1443905532360077,0.12643946707248688
The carpenter that the dancer visits,The carpenters that the dancer visits, does, do,singular_singular, is,603, are,708,24.858020782470703,0.0033457258250564337,27,0,5.87031364440918,0.2726525664329529,0.27188313007354736,25.246557235717773,0.005098174791783094,22,0,4.041654586791992,0.3054032623767853,0.30003783106803894
The doctors that the skater informs,The doctor that the skater informs, do, does,plural_singular, are,708, is,603,22.492353439331055,0.0008348096744157374,52,4,1.8276920318603516,0.06415858864784241,0.053842902183532715,20.888778686523438,0.00016504738596267998,145,8,3.7083053588867188,0.03535202890634537,0.03448523208498955
The boy that the chefs inform,The boys that the chefs inform, has, have,singular_plural, is,603, are,708,24.19062042236328,0.005520346108824015,17,3,2.724384307861328,0.06058940291404724,0.05661555007100105,24.28388786315918,0.006992027163505554,16,4,1.4682292938232422,0.04115423187613487,0.031675055623054504
The aunts that the guards praise,The aunt that the guards praise, go, goes,plural_plural, are,708, is,603,22.111669540405273,0.0002756329486146569,121,0,2.6308212280273438,0.2579757869243622,0.23939655721187592,21.953493118286133,0.0002299047919223085,118,0,3.1171226501464844,0.17905645072460175,0.17112703621387482
The mother that the assistants protect,The mothers that the assistants protect, does, do,singular_plural, is,603, are,708,24.358322143554688,0.002506186021491885,46,0,2.0709877014160156,0.22561387717723846,0.19717271625995636,25.847564697265625,0.011388399638235569,13,0,4.871601104736328,0.3823913335800171,0.37946179509162903
The doctors that the architect praises,The doctor that the architect praises, do, does,plural_singular, are,708, is,603,25.180438995361328,0.0046556731685996056,18,1,3.5588626861572266,0.2522221505641937,0.24504108726978302,24.439739227294922,0.0020532384514808655,30,1,4.667396545410156,0.23390363156795502,0.2317057102918625
The uncles that the dancers influence,The uncle that the dancers influence, do, does,plural_plural, are,708, is,603,23.976282119750977,0.001533000380732119,59,0,2.520235061645508,0.26425930857658386,0.24300210177898407,22.062700271606445,0.00023643414897378534,123,0,2.342306137084961,0.19931934773921967,0.18016360700130463
The aunts that the parents influence,The aunt that the parents influence, do, does,plural_plural, are,708, is,603,23.352882385253906,0.0010845627402886748,62,1,2.3240127563476562,0.11628948897123337,0.1049070656299591,20.564027786254883,0.00013712060172110796,144,2,1.609273910522461,0.06560295075178146,0.05248020961880684
The woman that the executives describe,The women that the executives describe, goes, go,singular_plural, is,603, are,708,21.290618896484375,0.0002438379597151652,53,1,3.1654090881347656,0.05076095461845398,0.04861900210380554,21.405261993408203,0.00023566342133563012,86,1,2.889303207397461,0.13631057739257812,0.1287296712398529
The mother that the chef visits,The mothers that the chef visits, goes, go,singular_singular, is,603, are,708,23.51144027709961,0.001097618485800922,50,1,6.097171783447266,0.26259708404541016,0.2620064318180084,24.59018898010254,0.0028574345633387566,33,0,5.739025115966797,0.3281465172767639,0.3270905613899231
The victims that the assistants forgive,The victim that the assistants forgive, are, is,plural_plural, are,708, is,603,28.86520767211914,0.25496914982795715,0,0,2.1188201904296875,0.25496914982795715,0.2243286669254303,28.325883865356445,0.15192867815494537,0,0,1.9157485961914062,0.15192867815494537,0.1295599788427353
The victims that the executive visits,The victim that the executive visits, are, is,plural_singular, are,708, is,603,29.206951141357422,0.3456401526927948,0,0,3.455556869506836,0.3456401526927948,0.3347283899784088,29.301843643188477,0.3713904619216919,0,0,3.0225887298583984,0.3713904619216919,0.35331302881240845
The poets that the minister hates,The poet that the minister hates, go, goes,plural_singular, are,708, is,603,23.201261520385742,0.000867967086378485,68,0,2.0900020599365234,0.2572633922100067,0.2254432886838913,23.14655876159668,0.0008889999589882791,57,0,5.245733261108398,0.3014986515045166,0.299909770488739
